From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
6xp6	P01909	reviewed	DQA1_HUMAN	HLA class II histocompatibility antigen, DQ alpha 1 chain	HLA-DQA1	Homo sapiens	254
6udk	S6B2B6	unreviewed	S6B2B6_HUMAN	IgG H chain		Homo sapiens	275
6udk	Q8N355	unreviewed	Q8N355_HUMAN	IGL@ protein	IGL@	Homo sapiens	234
6udk	Q6PJF2	unreviewed	Q6PJF2_HUMAN	IGK@ protein	IGK@	Homo sapiens	235
8vqd	P04626	reviewed	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens	1255
8guq	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
8guq	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8xqr	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8guq	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8guq	P34972	reviewed	CNR2_HUMAN	Cannabinoid receptor 2	CNR2 CB2A CB2B	Homo sapiens	360
8xqr	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
5d70	P04141	reviewed	CSF2_HUMAN	Granulocyte-macrophage colony-stimulating factor	CSF2 GMCSF	Homo sapiens	144
8fja	P43358	reviewed	MAGA4_HUMAN	Melanoma-associated antigen 4	MAGEA4 MAGE4	Homo sapiens	317
8w8b	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7ujd	Q13200	reviewed	PSMD2_HUMAN	26S proteasome non-ATPase regulatory subunit 2	PSMD2 TRAP2	Homo sapiens	908
8w8b	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8rp8	Q08722	reviewed	CD47_HUMAN	Leukocyte surface antigen CD47	CD47 MER6	Homo sapiens	323
3gjf	P78358	reviewed	CTG1B_HUMAN	Cancer/testis antigen 1	CTAG1A CTAG CTAG1 ESO1 LAGE2 LAGE2A; CTAG1B LAGE2B	Homo sapiens	180
7vuh	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
5wko	Q9UL78	unreviewed	Q9UL78_HUMAN	Myosin-reactive immunoglobulin light chain variable region		Homo sapiens	109
3gjf	P61769	reviewed	B2MG_HUMAN	Beta-2-microglobulin	B2M CDABP0092 HDCMA22P	Homo sapiens	119
8xsj	Q9BYF1	reviewed	ACE2_HUMAN	Angiotensin-converting enzyme 2	ACE2 UNQ868/PRO1885	Homo sapiens	805
3gjf	P04439	reviewed	HLAA_HUMAN	HLA class I histocompatibility antigen, A alpha chain	HLA-A HLAA	Homo sapiens	365
8j6j	Q8TDS4	reviewed	HCAR2_HUMAN	Hydroxycarboxylic acid receptor 2	HCAR2 GPR109A HCA2 HM74A NIACR1	Homo sapiens	363
8fx5	P08173	reviewed	ACM4_HUMAN	Muscarinic acetylcholine receptor M4	CHRM4	Homo sapiens	479
8j6j	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
6dc5	Q8TCD0	unreviewed	Q8TCD0_HUMAN	Ig-like domain-containing protein		Homo sapiens	239
8fx5	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8fx5	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8hj1	Q99679	reviewed	GPR21_HUMAN	Probable G-protein coupled receptor 21	GPR21	Homo sapiens	349
8hj1	P63092	reviewed	GNAS2_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	GNAS GNAS1 GSP	Homo sapiens	394
7kpg	P78324	reviewed	SHPS1_HUMAN	Tyrosine-protein phosphatase non-receptor type substrate 1	SIRPA BIT MFR MYD1 PTPNS1 SHPS1 SIRP	Homo sapiens	504
4z5r	P01563	reviewed	IFNA2_HUMAN	Interferon alpha-2	IFNA2 IFNA2A IFNA2B IFNA2C	Homo sapiens	188
8hj1	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8hj1	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
5yoy	P01375	reviewed	TNFA_HUMAN	Tumor necrosis factor	TNF TNFA TNFSF2	Homo sapiens	233
7xtp	P06730	reviewed	IF4E_HUMAN	Eukaryotic translation initiation factor 4E	EIF4E EIF4EL1 EIF4F	Homo sapiens	217
6al5	P15391	reviewed	CD19_HUMAN	B-lymphocyte antigen CD19	CD19	Homo sapiens	556
5ihl	P25942	reviewed	TNR5_HUMAN	Tumor necrosis factor receptor superfamily member 5	CD40 TNFRSF5	Homo sapiens	277
7zoz	Q6ZMC9	reviewed	SIG15_HUMAN	Sialic acid-binding Ig-like lectin 15	SIGLEC15 CD33L3	Homo sapiens	328
6dc5	Q6GMX6	unreviewed	Q6GMX6_HUMAN	IGH@ protein	IGH@	Homo sapiens	465
8ghp	P25092	reviewed	GUC2C_HUMAN	Guanylyl cyclase C	GUCY2C GUC2C STAR	Homo sapiens	1073
8w8b	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8w8b	P08908	reviewed	5HT1A_HUMAN	5-hydroxytryptamine receptor 1A	HTR1A ADRB2RL1 ADRBRL1	Homo sapiens	422
7czz	P01834	reviewed	IGKC_HUMAN	Immunoglobulin kappa constant	IGKC	Homo sapiens	107
1n8z	P04626	reviewed	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens	1255
6x5b	P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4	CD4	Homo sapiens	458
8thk	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8thk	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
6xm2	P61812	reviewed	TGFB2_HUMAN	Transforming growth factor beta-2 proprotein	TGFB2	Homo sapiens	414
8thk	P35348	reviewed	ADA1A_HUMAN	Alpha-1A adrenergic receptor	ADRA1A ADRA1C	Homo sapiens	466
8thk	P04899	reviewed	GNAI2_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-2	GNAI2 GNAI2B	Homo sapiens	355
4oqt	S6B291	unreviewed	S6B291_HUMAN	IgG H chain		Homo sapiens	466
7czz	P0DP01	reviewed	HV108_HUMAN	Immunoglobulin heavy variable 1-8	IGHV1-8	Homo sapiens	117
6bgt	Q7Z3Y4	unreviewed	Q7Z3Y4_HUMAN	Ig-like domain-containing protein		Homo sapiens	236
6bgt	P0DOX5	reviewed	IGG1_HUMAN	Immunoglobulin gamma-1 heavy chain		Homo sapiens	449
6bgt	P04626	reviewed	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens	1255
4oqt	Q96FE5	reviewed	LIGO1_HUMAN	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1	LINGO1 LERN1 LRRN6A UNQ201/PRO227	Homo sapiens	620
7wp5	A0A5C2GQT9	unreviewed	A0A5C2GQT9_HUMAN	IG c335_light_IGLV1-40_IGLJ3		Homo sapiens	111
4oqt	Q6PIL8	unreviewed	Q6PIL8_HUMAN	IGK@ protein	IGK@	Homo sapiens	236
8yx9	P25942	reviewed	TNR5_HUMAN	Tumor necrosis factor receptor superfamily member 5	CD40 TNFRSF5	Homo sapiens	277
5wko	Q6P5S8	unreviewed	Q6P5S8_HUMAN	IGK@ protein	IGK@	Homo sapiens	236
7czz	A0A5C2G1U0	unreviewed	A0A5C2G1U0_HUMAN	IG c168_light_IGKV4-1_IGKJ4		Homo sapiens	113
7czz	V9HW68	unreviewed	V9HW68_HUMAN	Epididymis luminal protein 214	HEL-214	Homo sapiens	470
5wko	Q6N089	unreviewed	Q6N089_HUMAN	Ig-like domain-containing protein	DKFZp686P15220	Homo sapiens	472
3u30	P0CG48	reviewed	UBC_HUMAN	Polyubiquitin-C	UBC	Homo sapiens	685
8w8q	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
3ux9	P01562	reviewed	IFNA1_HUMAN	Interferon alpha-1/13	IFNA1; IFNA13	Homo sapiens	189
8jhi	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7xjj	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7xxh	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7xxh	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7xxh	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7xxh	P47900	reviewed	P2RY1_HUMAN	P2Y purinoceptor 1	P2RY1	Homo sapiens	373
7xxh	P29992	reviewed	GNA11_HUMAN	Guanine nucleotide-binding protein subunit alpha-11 subunit alpha)	GNA11 GA11	Homo sapiens	359
8vsj	D7RIG0	unreviewed	D7RIG0_HUMAN	HLA class II histocompatibility antigen DR beta chain	HLA-DRB1	Homo sapiens	266
8w8q	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
1g9n	P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4	CD4	Homo sapiens	458
3g04	P16473	reviewed	TSHR_HUMAN	Thyrotropin receptor	TSHR LGR3	Homo sapiens	764
7f8w	P01350	reviewed	GAST_HUMAN	Gastrin	GAST GAS	Homo sapiens	101
8vsj	P04233	reviewed	HG2A_HUMAN	HLA class II histocompatibility antigen gamma chain	CD74 DHLAG	Homo sapiens	296
8vsj	P01903	reviewed	DRA_HUMAN	HLA class II histocompatibility antigen, DR alpha chain	HLA-DRA HLA-DRA1	Homo sapiens	254
6qb4	Q07820	reviewed	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1 BCL2L3	Homo sapiens	350
7ahv	P00740	reviewed	FA9_HUMAN	Coagulation factor IX	F9	Homo sapiens	461
8j22	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
3kr3	P01344	reviewed	IGF2_HUMAN	Insulin-like growth factor 2	IGF2 IGF-2 PP1446	Homo sapiens	180
8vuv	Q13224	reviewed	NMDE2_HUMAN	Glutamate receptor ionotropic, NMDA 2B	GRIN2B NMDAR2B	Homo sapiens	1484
8vuv	Q05586	reviewed	NMDZ1_HUMAN	Glutamate receptor ionotropic, NMDA 1	GRIN1 NMDAR1	Homo sapiens	938
7f8w	P32239	reviewed	GASR_HUMAN	Gastrin/cholecystokinin type B receptor	CCKBR CCKRB	Homo sapiens	447
7x10	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7x10	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
3jwd	P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4	CD4	Homo sapiens	458
8gut	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
4mxw	P01374	reviewed	TNFB_HUMAN	Lymphotoxin-alpha	LTA TNFB TNFSF1	Homo sapiens	205
6dkj	P48546	reviewed	GIPR_HUMAN	Gastric inhibitory polypeptide receptor	GIPR	Homo sapiens	466
8gut	P34972	reviewed	CNR2_HUMAN	Cannabinoid receptor 2	CNR2 CB2A CB2B	Homo sapiens	360
6fxn	Q9Y275	reviewed	TN13B_HUMAN	Tumor necrosis factor ligand superfamily member 13B	TNFSF13B BAFF BLYS TALL1 TNFSF20 ZTNF4 UNQ401/PRO738	Homo sapiens	285
7oly	Q13705	reviewed	AVR2B_HUMAN	Activin receptor type-2B	ACVR2B	Homo sapiens	512
7oly	P36896	reviewed	ACV1B_HUMAN	Activin receptor type-1B	ACVR1B ACVRLK4 ALK4	Homo sapiens	505
7oly	P08476	reviewed	INHBA_HUMAN	Inhibin beta A chain	INHBA	Homo sapiens	426
8iys	Q5NUL3	reviewed	FFAR4_HUMAN	Free fatty acid receptor 4	FFAR4 GPR120 GPR129 O3FAR1 PGR4	Homo sapiens	361
7xjj	P09471	reviewed	GNAO_HUMAN	Guanine nucleotide-binding protein G(o) subunit alpha	GNAO1	Homo sapiens	354
8iys	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8xqt	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8iys	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8iys	P50148	reviewed	GNAQ_HUMAN	Guanine nucleotide-binding protein G(q) subunit alpha	GNAQ GAQ	Homo sapiens	359
7xjj	P22466	reviewed	GALA_HUMAN	Galanin peptides	GAL GAL1 GALN GLNN	Homo sapiens	123
6xkr	Q15116	reviewed	PDCD1_HUMAN	Programmed cell death protein 1	PDCD1 PD1	Homo sapiens	288
7xjj	P47211	reviewed	GALR1_HUMAN	Galanin receptor type 1	GALR1 GALNR GALNR1	Homo sapiens	349
6dkj	V9HW34	unreviewed	V9HW34_HUMAN	Epididymis luminal protein 213	HEL-213	Homo sapiens	235
8gut	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
6nmt	P78324	reviewed	SHPS1_HUMAN	Tyrosine-protein phosphatase non-receptor type substrate 1	SIRPA BIT MFR MYD1 PTPNS1 SHPS1 SIRP	Homo sapiens	504
4d9q	Q8TCD0	unreviewed	Q8TCD0_HUMAN	Ig-like domain-containing protein		Homo sapiens	239
4d9q	P01857	reviewed	IGHG1_HUMAN	Immunoglobulin heavy constant gamma 1	IGHG1	Homo sapiens	399
7xjj	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8gut	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
6al5	A8K008	unreviewed	A8K008_HUMAN	Ig-like domain-containing protein		Homo sapiens	472
2h9g	O14763	reviewed	TR10B_HUMAN	Tumor necrosis factor receptor superfamily member 10B	TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9 UNQ160/PRO186	Homo sapiens	440
8j22	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
6uqr	P01854	reviewed	IGHE_HUMAN	Immunoglobulin heavy constant epsilon	IGHE	Homo sapiens	546
8dpf	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8dpf	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8dpf	P28335	reviewed	5HT2C_HUMAN	5-hydroxytryptamine receptor 2C	HTR2C HTR1C	Homo sapiens	458
8j22	O15552	reviewed	FFAR2_HUMAN	Free fatty acid receptor 2	FFAR2 FFA2 GPCR43 GPR43	Homo sapiens	330
7f8w	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
1jps	P13726	reviewed	TF_HUMAN	Tissue factor	F3	Homo sapiens	295
6umx	Q5EFE5	unreviewed	Q5EFE5_HUMAN	Anti-RhD monoclonal T125 gamma1 heavy chain		Homo sapiens	475
6umx	P0DOY2	reviewed	IGLC2_HUMAN	Immunoglobulin lambda constant 2	IGLC2	Homo sapiens	106
3eob	P20701	reviewed	ITAL_HUMAN	Integrin alpha-L	ITGAL CD11A	Homo sapiens	1170
6umx	O14793	reviewed	GDF8_HUMAN	Growth/differentiation factor 8	MSTN GDF8	Homo sapiens	375
2ny1	P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4	CD4	Homo sapiens	458
8e9y	P20309	reviewed	ACM3_HUMAN	Muscarinic acetylcholine receptor M3	CHRM3	Homo sapiens	590
7rp3	P01116	reviewed	RASK_HUMAN	GTPase KRas	KRAS KRAS2 RASK2	Homo sapiens	189
8iu2	P04000	reviewed	OPSR_HUMAN	Long-wave-sensitive opsin 1	OPN1LW RCP	Homo sapiens	364
8e9y	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8e9y	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
5xez	P47871	reviewed	GLR_HUMAN	Glucagon receptor	GCGR	Homo sapiens	477
7xjk	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7xjk	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7xjk	P22466	reviewed	GALA_HUMAN	Galanin peptides	GAL GAL1 GALN GLNN	Homo sapiens	123
8j22	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8w84	P01909	reviewed	DQA1_HUMAN	HLA class II histocompatibility antigen, DQ alpha 1 chain	HLA-DQA1	Homo sapiens	254
5j13	Q969D9	reviewed	TSLP_HUMAN	Thymic stromal lymphopoietin	TSLP	Homo sapiens	159
7e72	Q02763	reviewed	TIE2_HUMAN	Angiopoietin-1 receptor	TEK TIE2 VMCM VMCM1	Homo sapiens	1124
8ek5	F6IR24	unreviewed	F6IR24_HUMAN	MHC class I antigen	HLA-A	Homo sapiens	337
7tr4	P61769	reviewed	B2MG_HUMAN	Beta-2-microglobulin	B2M CDABP0092 HDCMA22P	Homo sapiens	119
8ek5	Q99453	reviewed	PHX2B_HUMAN	Paired mesoderm homeobox protein 2B	PHOX2B PMX2B	Homo sapiens	314
8ek5	P61769	reviewed	B2MG_HUMAN	Beta-2-microglobulin	B2M CDABP0092 HDCMA22P	Homo sapiens	119
5n88	O75475	reviewed	PSIP1_HUMAN	PC4 and SFRS1-interacting protein	PSIP1 DFS70 LEDGF PSIP2	Homo sapiens	530
6ss2	P78540	reviewed	ARGI2_HUMAN	Arginase-2, mitochondrial	ARG2	Homo sapiens	354
8iu2	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8cxi	Q9H9E1	reviewed	ANRA2_HUMAN	Ankyrin repeat family A protein 2	ANKRA2 ANKRA	Homo sapiens	313
8xqt	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7tr4	Q16655	reviewed	MAR1_HUMAN	Melanoma antigen recognized by T-cells 1	MLANA MART1	Homo sapiens	118
7f8w	P50148	reviewed	GNAQ_HUMAN	Guanine nucleotide-binding protein G(q) subunit alpha	GNAQ GAQ	Homo sapiens	359
4s1q	A0A0M3KKW8	unreviewed	A0A0M3KKW8_HUMAN	HIV-1 gp120 core	HIV-1 Env	Homo sapiens	353
6lfm	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
6lfm	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
6lfm	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
6lfm	P25025	reviewed	CXCR2_HUMAN	C-X-C chemokine receptor type 2	CXCR2 IL8RB	Homo sapiens	360
7f8w	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
6lfm	P10145	reviewed	IL8_HUMAN	Interleukin-8 ligand 8)	CXCL8 IL8	Homo sapiens	99
8xqt	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7tr4	A0A140T9X5	unreviewed	A0A140T9X5_HUMAN	Major histocompatibility complex, class I, A	HLA-A	Homo sapiens	371
7yk4	P43489	reviewed	TNR4_HUMAN	Tumor necrosis factor receptor superfamily member 4	TNFRSF4 TXGP1L	Homo sapiens	277
8xqt	Q9NYV8	reviewed	T2R14_HUMAN	Taste receptor type 2 member 14	TAS2R14	Homo sapiens	317
8tui	P43628	reviewed	KI2L3_HUMAN	Killer cell immunoglobulin-like receptor 2DL3	KIR2DL3 CD158B2 KIRCL23 NKAT2	Homo sapiens	341
8jxt	Q9H3N8	reviewed	HRH4_HUMAN	Histamine H4 receptor	HRH4 GPCR105	Homo sapiens	390
5dwu	P32927	reviewed	IL3RB_HUMAN	Cytokine receptor common subunit beta	CSF2RB IL3RB IL5RB	Homo sapiens	897
7vuh	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
6vmj	P00746	reviewed	CFAD_HUMAN	Complement factor D	CFD DF PFD	Homo sapiens	253
5utz	P60568	reviewed	IL2_HUMAN	Interleukin-2	IL2	Homo sapiens	153
2uzi	P01112	reviewed	RASH_HUMAN	GTPase HRas	HRAS HRAS1	Homo sapiens	189
8w8q	Q96P66	reviewed	GP101_HUMAN	Probable G-protein coupled receptor 101	GPR101	Homo sapiens	508
2ny0	Q6P5S8	unreviewed	Q6P5S8_HUMAN	IGK@ protein	IGK@	Homo sapiens	236
2ny0	P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4	CD4	Homo sapiens	458
5utz	Q6GMX6	unreviewed	Q6GMX6_HUMAN	IGH@ protein	IGH@	Homo sapiens	465
7d8b	P06730	reviewed	IF4E_HUMAN	Eukaryotic translation initiation factor 4E	EIF4E EIF4EL1 EIF4F	Homo sapiens	217
8jgg	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7ew1	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
5utz	Q6IPQ0	unreviewed	Q6IPQ0_HUMAN	IGL@ protein	IGL@	Homo sapiens	236
4y5y	P19235	reviewed	EPOR_HUMAN	Erythropoietin receptor	EPOR	Homo sapiens	508
4qhu	Q16552	reviewed	IL17_HUMAN	Interleukin-17A	IL17A CTLA8 IL17	Homo sapiens	155
8jiz	Q12879	reviewed	NMDE1_HUMAN	Glutamate receptor ionotropic, NMDA 2A	GRIN2A NMDAR2A	Homo sapiens	1464
8jiz	Q05586	reviewed	NMDZ1_HUMAN	Glutamate receptor ionotropic, NMDA 1	GRIN1 NMDAR1	Homo sapiens	938
5b71	P01031	reviewed	CO5_HUMAN	Complement C5	C5 CPAMD4	Homo sapiens	1676
4dtg	P10646	reviewed	TFPI1_HUMAN	Tissue factor pathway inhibitor	TFPI LACI TFPI1	Homo sapiens	304
7kf1	P15692	reviewed	VEGFA_HUMAN	Vascular endothelial growth factor A, long form	VEGFA VEGF	Homo sapiens	395
7ew1	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7ew1	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
8jgg	Q96LB2	reviewed	MRGX1_HUMAN	Mas-related G-protein coupled receptor member X1	MRGPRX1 MRGX1 SNSR3 SNSR4	Homo sapiens	322
5tzt	Q08722	reviewed	CD47_HUMAN	Leukocyte surface antigen CD47	CD47 MER6	Homo sapiens	323
8hnl	P49682	reviewed	CXCR3_HUMAN	C-X-C chemokine receptor type 3	CXCR3 GPR9	Homo sapiens	368
8hnl	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8hnl	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7sk8	P25106	reviewed	ACKR3_HUMAN	Atypical chemokine receptor 3	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	Homo sapiens	362
6myy	S6C4S0	unreviewed	S6C4S0_HUMAN	IgG H chain		Homo sapiens	275
6myy	Q6PJF2	unreviewed	Q6PJF2_HUMAN	IGK@ protein	IGK@	Homo sapiens	235
7ew4	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
5cbe	O43927	reviewed	CXL13_HUMAN	C-X-C motif chemokine 13	CXCL13 BCA1 BLC SCYB13	Homo sapiens	109
5cbe	P01704	reviewed	LV214_HUMAN	Immunoglobulin lambda variable 2-14	IGLV2-14	Homo sapiens	120
7w56	Q9HB89	reviewed	NMUR1_HUMAN	Neuromedin-U receptor 1	NMUR1 GPR66	Homo sapiens	426
7w56	Q5H8A3	reviewed	NMS_HUMAN	Neuromedin-S	NMS	Homo sapiens	153
7w56	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7w56	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
6v8x	Q6PIL8	unreviewed	Q6PIL8_HUMAN	IGK@ protein	IGK@	Homo sapiens	236
8u31	Q15116	reviewed	PDCD1_HUMAN	Programmed cell death protein 1	PDCD1 PD1	Homo sapiens	288
7rp2	P01116	reviewed	RASK_HUMAN	GTPase KRas	KRAS KRAS2 RASK2	Homo sapiens	189
